class	pred
1	 Im making a simple Arduino web server and I want to keep it turned on all the time. So it must endure to stay working continuously. Im using an Arduino Uno with a Ethernet Shield.Its powered with a simple outlet power supply 5V @ 1A. My Questions: Will I have any problems leaving the Arduino turned on all the time? Is there some other Arduino board better recommended for this? Are there any precautions that I need to heed regarding this? 
1	 Put plainly: is there a way to get an HTTPS connection on the Arduino? I have been looking in to it and I have found it is impossible with the standard library and the Ethernet shield but is there a custom library that can do it? What about a coprocessor i.e. like the WiFi shield has? Anyone know if the Arduino yn has ssl? 
1	 For solar &amp; battery powered projects decreasing power consumption is a necessity. I know a little bit about using a timer and interrupt to put the microcontroller into sleep when it isn\t doing anything. I have also read that you can disable some peripherals to further save power. Here is a page explaining these: Power Saving Techniques My question: What other techniques are there to save power? Are there any libraries that make using these AVR features easier? 
1	 I have an original Arduino UNO R3 that I bought and an Arduino Severino S3V3 that I\ve built. I have no problems uploading sketches to the UNO but sometimes when uploading to the Severino board I have to hard reset it at a specific time during the upload process when the IDE says something like this below: avrdude: Version 5.11 compiled on Sep 2 2011 at 19:38:36 Copyright c 2000-2005 Brian Dean http://www.bdmicro.com/ Copyright c 2007-2009 Joerg Wunsch System wide configuration file is C:\\arduino-1.0.3\\hardware/tools/avr/etc/avrdude.conf Using Port : \\\\.\\COM1 Using Programmer : arduino Overriding Baud Rate : 115200avrdude: Send: 0 [30] [20] avrdude: Send: 0 [30] [20] avrdude: Send: 0 [30] [20] If I don\t reset it when one of the Send messages
1	 The strangest thing is happening to a standalone Arduino board that I designed and built. The board whose schematics are below has the following features: It has a ATmega328P with a 5V voltage regulator and usual circuitry when set up as a standalone controller. It controls a scoreboard with several 7-display digits linked through the connectors on the right JP1 through JP12. It has cursor buttons decoded using a voltage ladder through ANALOG_0 A0. It has a Real Time Clock to keep time when it\s turned off. It has an RF receiver module. It has a UART header JP17 so I can program the board using a serial port. It has a speaker attached to digital pin 3 D3. I upload sketches to it using a RS232-to-TTL adapter that I\ve also built schematics also below and a Serial-to-USB cable. When programming it the board behaves much
1	 I bought an Ethernet Shield R3 for my Arduino Uno R2 but since R3 has extra pins it does not fit. Can I use the shield? Should I cut off the extra pins. What do I need to do to make it work? 
1	 I have a uno that I have been using for 3 years now. I will be using it again in a rather critical project in which failure on the part of the board could be rather expensive and dangerous. So I would like to be sure that the board is not approaching end of life or going to fail anytime soon. Is there any reliable way to figure out how long the board will function without failing or reduction in performance? 
1	 I wanted to make a fairly simple circuit which would flash a series of LEDs in sequence using my Arduino Uno more specifically a SainSmart clone. I wrote my sketch and it compiled fine. After that I connected 8 LEDS+resistors to pins 0 through 7 and then connected the Uno to my computer via USB. Ive uploaded sketches successfully in the past so Im sure my settings and drivers etc. are correct. However when I tried to upload my sketch this time it didnt work. I tried removing everything Id connected to the Arduinos pins and suddenly the upload worked again. Why does this happen? Does it mean I have to disconnect everything from the board every time I upload a sketch? 
1	 Ive been experimenting with an 8x8 LED matrix controlled by an Arduino Uno. As I think is typical the matrix uses a common anode for each row and a common cathode for each column. At the moment Ive got all the matrix pins connected directly to IO pins on the Uno and I havent had any problems lighting the LEDs one-by-one. Going through the whole matrix like this makes updates a little slow though meaning the LEDs arent as bright as Id like. As far as I know I cant safely light up an entire row at once because an individual pin on the Uno isnt capable of sourcing enough current to drive 8 separate LEDs at the same time requiring at least 10mA each to be bright enough. It occurred to me that the reverse might be safer. If I light up an entire column at a time then each pin only has to source enough current for one LED which should be no problem. However it relies on one pin potentially sinking the current from all 8 totalling at least 80mA. 
1	 I currently have a Mega2560 with the LCD4884 Shield. The Shield is good for putting out text and simple pixel images. But I am wondering if there is something that has a full range of colours that would work with the Arduino? The screen size would only have to be a few inches in size. 
1	 We have an LED strip connected to output 6 and is powered by the Uno board itself. Shouldnt be drawing too much current only have 10 elements on the LED strip. While this LED strip is connected to the Uno I noticed that the regulator is getting very hot. One thing we havent done yet is to power the LED strips from an external source which will be necessary since there will be many strips. At the moment the students are simply trying to debug their program with the small strip. 
1	 Is it possible to have more than 14 output pins on the Arduino I am working on a project in which I need to light up several LEDs individually. I only have an Arduino Uno and I dont want to get a Mega. 
1	 What hardware and software solutions work and what are the tradeoffs for connecting an Arduino Due to the internet? I gather the ethernet hardware is much cheaper than WiFi hardware 29 versus 69. In either case wired or wireless what software stacks and drivers work under AtmelStudio? 
1	 There are some pins on the Arduino which I havent been able to find out anything about: IOREF AREF An unlabeled one next to IOREF What are they? 
1	 I want to use sensors on an Arduino to control values in a MATLAB program. What are my options for communicating? I\ve used Processing to receive data sent via the serial cable and that strategy has worked pretty well. Is there something similar I can do using MATLAB? I\m somewhat new to MATLAB so gentle guidance would be great. I\m not really looking for something like the ArduinoIO package -- I want to have separate computation executing on the Arduino and occasionally informing my MATLAB program which will occasionally poll the serial line I suppose. 
1	 I\m using a DigiX Arduino Due based 3.3V board to connect to a GPRS/GSM SIM908 breakout board. The SIM908 EVB board has the following pins on its RS232: I\ve got all three UART TX lines hooked up to the RX Lines and RX to TX on my Arduino but the board keeps resetting which I would guess is some sort of voltage issue I turned the board off immediately. However there are three MAX3232s on the underside of the board which I thought would have made it so I could just connect the lines directly to the Arduino. Does anyone know why this might be happening or how to properly connect these two devices? Additional info: Pinout of the DigiX . Schematic of the DigiX . 
1	 At least for prototyping is there a semi-permanent way to attach wires to the Nano posts? And yes usually the Nano is hanging in free space by its wires yes I know quick and dirty should be using something cleaner even for prototypes. So I\m hoping for the best of both worlds sturdy enough to stay attached yet possible to remove and switch around. Having no luck finding such advice on the internet perhaps searching for the wrong terms. EDIT: I neglected one important point each wire is attached individually just like the SparkFun wires with the female header as mentioned in @TheDoctor\s answer below. 
1	 Im planning an Arduino system that consists of several Arduino boards. The maximum distance between the boards is about 50 meters. I want to send basic data between these like short strings or integers. I know I could send data through ethernet cables but that requires an ethernet shield or the Arduino Ethernet board that doubles the costs. Is there a low budget way I could connect the boards using only the most basic boards like Uno and some other components but not a full shield? 
1	 Making a blinking light seems to be one of the most common beginner projects with Arduino. A typical approach is to connect an LED + resistor in series to an IO pin and connect the other end to ground. In code you make the pin an output and bring it HIGH and LOW repeatedly to flash the LED. What happens if you leave that resistor out? Obviously youre going to wreck the LED but will it also damage the Arduino in some way? 
1	 According to the Arduino reference for analogWrite the PWM frequency on most pins is ~490 Hz. However it\s ~980 Hz for pins 5 and 6 on the Uno and for pins 3 and 11 on the Leonardo. Why are these different? Is it a deliberate design feature or is it somehow dictated by the hardware? 
1	 I am looking for simple low cost solution in which I would like control on/off of mains supply to certain equipment. The control will be done using one of the output pin of Arudino Uno. The input trigger and how control it is application dependent. e. g. controlling an equipment or controlling supply to section of home but in principle mains control module implementation remains same. So looking for solution which safe while doing connections as well while in use in in-door conditions for years. 
1	 On the hardware side of things what is involved in making the Arduino receive signals from a TV Remote? What kind of infrared receiver is needed? Do TV remotes use some kind of channels encoding or encryption requiring special receivers or else additional programming work to decrypt the signals? 
1	 Spanish company Libelium makes this pretty impressive sensor board: http://www.libelium.com/products/waspmote/sensors/ for their Waspmote series of boards. These are not meant for Arduino compatibility but they are not only interesting for combining so many sensors the availability of calibrated sensor sets makes it even more unique. So here is the challenge: can we reasonably leverage these from an Uno or a Mega? 
1	 I am involved in a project that is going to measure PH and chlorine in a swimming pool. The plan is to use a Arduino Yun. The sensors we are going to use are connected using serial. Since we may be using multiple sensors is there any difference in reliability latency known issues bugs of using software serial versus pin0 and pin1? Is it any way to avoid software serial pitfalls if there are any? 
1	 Ive been hearing a lot about clones and counterfeits. What are the differences between the two? 
1	 I bought a SainSmart clone board which is compatible with the Arduino Uno R3. Alongside each of the standard IO pins there is a row of 3 additional pins male. They are arranged in columns marked S V and G. They can be seen on this image: Most of them are immediately above the SainSmart and UNO logos. The SVG pins corresponding to the analog pins can be seen immediately below the microprocessor. What are these pins for? Is this a standard format for some applications or is it something unique to the SainSmart? 
1	 I know there are different revisions of the Arduino Uno itself but are there any revisions of the SMD? If they are is SMD R2 identical to through-hole R2? I have a board marked R2 SMD and I am wondering if that is the only version that they produced in SMD format and just are signifying that it is compatible with the standard R2. 
1	 Im trying to use an unusual 16x2 LCD display with my Uno. As far as I know its an EA-X16027AR. It doesnt seem to be compatible with the HD44780 driver which is typically used for Arduino LCDs. According to the datasheet the displays ENB Enable pin requires a clock input described as follows: Basical Clock to perform Instructions in Controller LSI. The Clock at the same timing as MPU are usually input. The timing graphs elsewhere in the datasheet show it wants a speed of around 2 MHz. Is it possible to get the internal clock signal from the Uno scale it down to 2 MHz and output it to a GPIO pin or similar? Alternatively is it possible to emulate a clock signal at that speed on-board without adding additional timing components? 
1	 Im looking for a broadly applicable solution one that can be adapted to a variety of projects. Im currently working on several projects that each require controlling devices ranging from 800mA to 2A from an Arduino Uno. One controls stepper motors one controls 12vdc solenoid actuators and one controls 12vdc pneumatic valves. For example: The Arduino monitors a button and each time the button is pressed it triggers the solenoid actuator. Because the Arduino is unable to source the current required by the solenoid a seperate power supply is required with the Arduino controlling a switch relay transistor etc. that allows the higher current to pass. For the stepper motor the layout is more complex as there would need to be four pins controlling four separate switches to maintain interoperability of the circuit. The relay controls an air valve and requires 12vdc as well. Im trying to figure out how to use a single circuit that can be used in each
1	 Ive been using a button to interact with a sketch on my Uno and its mostly working fine. However sometimes it seems to be detecting multiple presses when its only pressed once. Its a small circuit-mounted momentary button which is normally open. Its connected from +5V directly to an input pin. Ive also added a 10K pull-down resistor on the pin to make sure the input isnt left floating. Heres a test sketch Ive been using which reports the number of presses to the serial monitor: int oldState = LOW;int numPresses = 0;void setup{ pinMode5 INPUT; Serial.begin9600;}void loop{ const int newState = digitalRead5; if newState != oldState { if newState == HIGH Serial.println++numPresses; oldState = newState; }} Sometimes when I press the button once the serial monitor shows two presses in a row. It sometimes even reports a press when I release the button. Is it possible to fix
1	 Im working on a free space optics project to send data wirelessly between two points. To accomplish this Im using an IR LED connected to an Arduino Uno that pulses with a 56khz carrier frequency for the transmitter and a second Arduino with a 56khz IR detector module for the receiver. I tried using delayMicroseconds between pin high and pin low commands in order to create the carrier frequency. This kind of works but the frequency isnt always the same and any additional delays for pulsing the signal i.e. the time required to call the function and decrementing can change it. Reading the datasheet for the Atmega328 it appears that there is a way to set a more accurate pulse using the chips timers. Is that possible and if so how do you create a 56khz pulse using the timers? 
1	 I currently have an Uno which operates at 5v and Im looking at buying a Due which only operates at 3.3v. Id like to make them communicate via Serial or SPI or similar but presumably connecting them directly isnt an option I guess the Dues pins would get damaged. Is there any way to make the connection safe? Or is there an alternative form of communication I could safely use between them instead? 
1	 Will it still run on less than 5 volts? Will it break? 
